,city,country,city id,lat,lon,temp,temp_max,humidity,cloudiness,wind speed
64,yakeshi,CN,2033536,49.28,120.73,18.05,18.05,89,100,2.07
65,teguise,ES,2510573,29.06,-13.56,28.0,28.0,61,20,10.3
66,saint-jean-de-maurienne,FR,2979302,45.17,6.58,15.0,15.0,60,97,2.24
67,bettendorf,US,4848489,41.52,-90.52,22.98,24.0,78,90,2.1
68,shenjiamen,CN,1795632,29.96,122.3,23.52,23.52,97,100,4.53
69,tiksi,RU,2015306,71.69,128.87,2.68,2.68,82,0,4.42
70,arman,RU,2127060,59.7,150.17,11.51,11.51,93,21,1.19
71,sabang,ID,1214026,5.89,95.32,29.1,29.1,70,41,1.06
72,khandbari,NP,1283217,27.37,87.2,24.46,24.46,76,80,0.29
73,cabo san lucas,BR,3404545,-8.28,-35.03,28.0,28.0,69,40,4.6
74,taybad,IR,1159384,34.74,60.78,30.75,30.75,28,30,12.82
75,irbit,RU,1505526,57.67,63.07,27.69,27.69,66,8,3.42
76,mar del plata,ES,3117472,43.4,-4.01,20.52,22.0,64,75,2.6
77,laguna,US,5364271,38.42,-121.42,15.54,16.67,87,1,2.1
78,freeport,US,5117949,40.66,-73.58,23.74,25.0,64,90,3.1
79,pandan,PH,1695546,14.05,124.17,27.52,27.52,77,42,3.4
80,tuatapere,NZ,2180815,-46.13,167.68,3.89,3.89,83,90,1.34
81,acajutla,SV,3587498,13.59,-89.83,26.41,27.0,69,70,1.4
82,punta arenas,PH,1692429,8.99,125.34,24.33,24.33,88,100,3.18
83,adrar,MR,2381972,20.5,-10.07,41.78,41.78,12,0,2.32
84,okmulgee,US,4544383,35.62,-95.96,27.0,27.0,78,40,4.1
85,marsh harbour,GB,2654993,53.65,-1.81,13.74,13.89,93,100,1.34
86,esso,RU,2125711,55.93,158.7,14.09,14.09,83,100,1.11
87,opuwo,NA,3354077,-18.06,13.84,24.57,24.57,15,0,7.84
88,selenduma,RU,2017063,50.91,106.24,17.18,17.18,86,60,0.8
89,hillsborough,US,5357155,37.57,-122.38,14.72,16.67,77,90,3.6
90,laiyang,CN,1804586,36.98,120.71,23.33,23.33,92,0,2.09
91,busselton,AU,2075265,-33.65,115.33,12.87,13.33,85,67,7.82
92,perth,AU,2063523,-31.93,115.83,13.77,14.44,87,40,4.1
93,ayni,TJ,1222222,39.39,68.54,19.36,19.36,50,96,2.22
94,port hardy,CD,212962,-7.03,29.76,26.92,26.92,44,80,2.4
